gamma,time,basin
0.47347347347347346,215,2
0.4744744744744745,214,2
0.4754754754754755,214,2
0.47647647647647645,214,2
0.4774774774774775,214,2
0.47847847847847846,214,2
0.4794794794794795,214,2
0.4804804804804805,214,2
0.48148148148148145,214,2
0.4824824824824825,214,2
0.48348348348348347,214,2
0.4844844844844845,214,2
0.4854854854854855,213,2
0.48648648648648646,213,2
0.4874874874874875,213,2
0.48848848848848847,213,2
0.4894894894894895,213,2
0.4904904904904905,213,2
0.49149149149149146,213,2
0.4924924924924925,213,2
0.4934934934934935,213,2
0.4944944944944945,213,2
0.4954954954954955,213,2
0.4964964964964965,212,2
0.4974974974974975,212,2
0.4984984984984985,212,2
0.4994994994994995,212,2
0.5005005005005005,212,2
0.5015015015015015,212,2
0.5025025025025025,212,2
0.5035035035035035,212,2
0.5045045045045045,212,2
0.5055055055055055,212,2
0.5065065065065065,212,2
0.5075075075075075,212,2
0.5085085085085085,211,2
0.5095095095095095,211,2
0.5105105105105106,211,2
0.5115115115115115,211,2
0.5125125125125125,211,2
0.5135135135135135,211,2
0.5145145145145145,211,2
0.5155155155155156,211,2
0.5165165165165165,211,2
0.5175175175175175,211,2
0.5185185185185185,211,2
0.5195195195195195,211,2
0.5205205205205206,211,2
0.5215215215215215,211,2
0.5225225225225225,210,2
0.5235235235235235,210,2
0.5245245245245245,210,2
0.5255255255255256,210,2
0.5265265265265265,210,2
0.5275275275275275,210,2
0.5285285285285285,210,2
0.5295295295295295,210,2
0.5305305305305306,210,2
0.5315315315315315,210,2
0.5325325325325325,210,2
0.5335335335335335,210,2
0.5345345345345345,210,2
0.5355355355355356,210,2
0.5365365365365365,209,2
0.5375375375375375,209,2
0.5385385385385385,209,2
0.5395395395395395,209,2
0.5405405405405406,209,2
0.5415415415415415,209,2
0.5425425425425425,209,2
0.5435435435435435,209,2
0.5445445445445445,209,2
0.5455455455455456,209,2
0.5465465465465466,209,2
0.5475475475475475,209,2
0.5485485485485485,209,2
0.5495495495495496,209,2
0.5505505505505506,209,2
0.5515515515515516,209,2
0.5525525525525525,208,2
0.5535535535535535,208,2
0.5545545545545546,208,2
0.5555555555555556,208,2
0.5565565565565566,208,2
0.5575575575575575,208,2
0.5585585585585585,208,2
0.5595595595595596,208,2
0.5605605605605606,208,2
0.5615615615615616,208,2
0.5625625625625625,208,2
0.5635635635635635,208,2
0.5645645645645646,208,2
0.5655655655655656,208,2
0.5665665665665666,208,2
0.5675675675675675,208,2
0.5685685685685685,208,2
0.5695695695695696,208,2
0.5705705705705706,207,2
0.5715715715715716,207,2
0.5725725725725725,207,2
0.5735735735735735,207,2
0.5745745745745746,207,2
0.5755755755755756,207,2
0.5765765765765766,207,2
0.5775775775775776,207,2
0.5785785785785785,207,2
0.5795795795795796,207,2
0.5805805805805806,207,2
0.5815815815815816,207,2
0.5825825825825826,207,2
0.5835835835835835,207,2
0.5845845845845846,207,2
0.5855855855855856,207,2
0.5865865865865866,207,2
0.5875875875875876,207,2
0.5885885885885885,207,2
0.5895895895895896,207,2
0.5905905905905906,207,2
0.5915915915915916,207,2
0.5925925925925926,206,2
0.5935935935935935,206,2
0.5945945945945946,206,2
0.5955955955955956,206,2
0.5965965965965966,206,2
0.5975975975975976,206,2
0.5985985985985985,206,2
0.5995995995995996,206,2
0.6006006006006006,206,2
0.6016016016016016,206,2
0.6026026026026026,206,2
0.6036036036036035,206,2
0.6046046046046046,206,2
0.6056056056056056,206,2
0.6066066066066066,206,2
0.6076076076076076,206,2
0.6086086086086087,206,2
0.6096096096096096,206,2
0.6106106106106106,206,2
0.6116116116116116,206,2
0.6126126126126126,206,2
0.6136136136136137,206,2
0.6146146146146146,206,2
0.6156156156156156,206,2
0.6166166166166166,206,2
0.6176176176176176,206,2
0.6186186186186187,206,2
